Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-444 d,0.1,0.9,0.7331,0.1,0.9,1.3317,0.7391,non-habitable
Kepler-444 e,0.1,0.9,0.7331,0.1,0.9,1.2528,0.7383,non-habitable
Kepler-444 f,0.1,0.9,0.7782,0.1,0.9,1.1822,0.7822,non-habitable
Kepler-445 b,0.1,0.9,1.607,0.1,0.9,0.9377,1.6003,non-habitable
Kepler-445 c,0.9,0.1,2.1525,0.1,0.9,0.8087,2.1391,non-habitable
Kepler-445 d,0.1,0.9,1.7095,0.1,0.9,0.7,1.6994,non-habitable
Kepler-446 b,0.9,0.1,1.4809,0.1,0.9,1.1887,1.478,non-habitable
Kepler-446 c,0.1,0.9,2.0191,0.1,0.9,0.9832,2.0087,non-habitable
Kepler-446 d,0.9,0.1,1.337,0.1,0.9,0.8443,1.3321,non-habitable
Kepler-449 b,0.9,0.1,1.9617,0.1,0.9,1.8307,1.9604,non-habitable
Kepler-450 d,0.9,0.1,0.839,0.1,0.9,2.0089,0.8507,non-habitable
Kepler-452 b,0.9,0.1,1.5657,0.3,0.7,0.2219,1.5523,mesoplanet
Kepler-454 b,0.9,0.1,2.0287,0.1,0.9,1.6315,2.0247,non-habitable
Kepler-457 b,0.9,0.1,2.2571,0.1,0.9,1.67,2.2512,non-habitable
Kepler-457 c,0.9,0.1,2.2571,0.1,0.9,1.202,2.2465,non-habitable
Kepler-466 c,0.8,0.2,1.1807,0.1,0.9,2.1938,1.1908,non-habitable
Kepler-467 b,0.8,0.2,2.0664,0.1,0.9,1.5295,2.061,non-habitable
Kepler-475 b,0.9,0.1,2.3982,0.1,0.9,2.0224,2.3944,non-habitable
Kepler-477 b,0.9,0.1,1.9819,0.1,0.9,1.4109,1.9762,non-habitable
Kepler-479 b,0.9,0.1,2.0294,0.2,0.8,0.79,2.017,non-habitable
Kepler-481 b,0.9,0.1,2.4082,0.1,0.9,1.8419,2.4025,non-habitable
