Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-524 b,0.8,0.1,1.7061,0.1,0.8,1.6888,1.7059,non-habitable
Kepler-524 c,0.1,0.1,0.981,0.1,0.8,2.2315,0.9935,non-habitable
Kepler-526 b,0.8,0.1,1.7775,0.1,0.8,1.8588,1.7783,non-habitable
Kepler-528 b,0.8,0.1,1.85,0.1,0.8,1.321,1.8447,non-habitable
Kepler-529 b,0.8,0.1,1.6731,0.1,0.8,2.4709,1.6811,non-habitable
Kepler-529 c,0.8,0.1,1.7775,0.1,0.8,1.5463,1.7752,non-habitable
Kepler-534 b,0.8,0.1,1.9799,0.1,0.8,1.3788,1.9739,non-habitable
Kepler-535 b,0.8,0.1,2.0806,0.1,0.7,1.8122,2.0779,non-habitable
Kepler-537 b,0.8,0.1,1.3164,0.1,0.8,1.8955,1.3222,non-habitable
Kepler-538 b,0.8,0.1,1.9967,0.1,0.8,0.8815,1.9855,non-habitable
Kepler-539 c,0.8,0.1,1.2688,0.1,0.1,0.5665,1.2618,non-habitable
Kepler-542 b,0.8,0.1,1.4429,0.1,0.8,1.2797,1.4413,non-habitable
Kepler-543 b,0.7,0.2,2.1167,0.1,0.8,1.1228,2.1068,non-habitable
Kepler-544 b,0.8,0.1,1.8825,0.1,0.8,1.4151,1.8778,non-habitable
Kepler-556 b,0.7,0.2,1.8969,0.1,0.8,1.4711,1.8926,non-habitable
Kepler-558 b,0.8,0.1,2.0806,0.1,0.8,1.0561,2.0704,non-habitable
Kepler-560 b,0.8,0.1,1.5549,0.1,0.8,0.6777,1.5461,non-habitable
Kepler-566 b,0.8,0.1,1.9066,0.1,0.8,1.1331,1.8989,non-habitable
Kepler-567 b,0.8,0.1,1.9883,0.1,0.8,1.1747,1.9802,non-habitable
Kepler-568 b,0.8,0.1,1.9967,0.1,0.8,0.9408,1.9861,non-habitable
Kepler-570 b,0.8,0.1,2.1558,0.1,0.8,1.8242,2.1525,non-habitable
Kepler-574 b,0.7,0.2,2.0216,0.1,0.8,1.5951,2.0173,non-habitable
Kepler-575 b,0.8,0.1,2.1044,0.1,0.8,1.5568,2.0989,non-habitable
Kepler-578 b,0.8,0.1,1.7775,0.1,0.7,1.8449,1.7782,non-habitable
Kepler-579 b,0.8,0.1,1.7775,0.1,0.8,1.4823,1.7745,non-habitable
Kepler-583 b,0.8,0.1,2.0051,0.1,0.8,1.6288,2.0013,non-habitable
Kepler-587 b,0.8,0.1,1.9714,0.1,0.8,1.4207,1.9659,non-habitable
Kepler-589 b,0.8,0.1,2.0051,0.1,0.8,1.217,1.9972,non-habitable
Kepler-592 b,0.8,0.1,2.1044,0.1,0.8,2.228,2.1056,non-habitable
Kepler-594 b,0.8,0.1,1.9235,0.1,0.8,1.3169,1.9174,non-habitable
Kepler-597 b,0.8,0.1,2.0806,0.1,0.7,1.288,2.0727,non-habitable
Kepler-598 b,0.8,0.1,1.3873,0.1,0.8,1.6872,1.3903,non-habitable
Kepler-601 b,0.8,0.1,1.7061,0.1,0.8,1.5108,1.7041,non-habitable
Kepler-602 b,0.8,0.1,1.85,0.1,0.8,1.4789,1.8463,non-habitable
Kepler-603 d,0.8,0.1,1.2449,0.1,0.8,1.6229,1.2487,non-habitable
Kepler-605 b,0.8,0.1,1.3326,0.1,0.8,1.7593,1.3369,non-habitable
Kepler-605 c,0.1,0.1,0.9668,0.1,0.8,1.8088,0.9752,non-habitable
Kepler-607 b,0.1,0.1,0.9691,0.1,0.8,2.3862,0.9833,non-habitable
Kepler-611 b,0.8,0.1,1.507,0.1,0.8,2.1172,1.5131,non-habitable
Kepler-613 b,0.8,0.1,2.0135,0.1,0.8,1.3605,2.007,non-habitable
Kepler-614 b,0.8,0.1,2.1044,0.1,0.8,1.2692,2.096,non-habitable
Kepler-615 b,0.8,0.1,1.5781,0.1,0.8,1.1312,1.5736,non-habitable
Kepler-616 b,0.8,0.1,2.1391,0.1,0.8,1.5564,2.1333,non-habitable
Kepler-617 b,0.8,0.1,1.2449,0.1,0.8,1.3191,1.2456,non-habitable
Kepler-619 c,0.7,0.2,1.4769,0.1,0.7,2.2369,1.4845,non-habitable
Kepler-621 b,0.8,0.1,2.029,0.1,0.8,1.6327,2.025,non-habitable
Kepler-622 b,0.8,0.1,1.891,0.1,0.8,0.9759,1.8818,non-habitable
Kepler-624 b,0.8,0.1,2.0374,0.1,0.8,1.5573,2.0326,non-habitable
Kepler-625 b,0.8,0.1,1.7775,0.1,0.8,1.59,1.7756,non-habitable
