Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-883 b,0.8,0.2,1.6339,52,0.1,0.9,1.674,49,1.6343,non-habitable
Kepler-884 b,0.9,0.1,1.1974,49,0.1,0.9,1.7928,52,1.2034,non-habitable
Kepler-885 b,0.9,0.1,2.4082,49,0.1,0.9,1.7578,49,2.4017,non-habitable
Kepler-886 b,0.9,0.1,1.4634,49,0.1,0.9,2.0577,49,1.4693,non-habitable
Kepler-887 b,0.9,0.1,1.7615,49,0.1,0.9,1.5795,50,1.7597,non-habitable
Kepler-887 c,0.9,0.1,1.1058,49,0.1,0.9,1.9554,50,1.1143,non-habitable
Kepler-888 b,0.9,0.1,1.6867,52,0.1,0.9,0.9391,49,1.6792,non-habitable
Kepler-889 b,0.9,0.1,1.0681,50,0.3,0.7,0.5465,49,1.0629,non-habitable
Kepler-895 b,0.9,0.1,1.4735,50,0.1,0.9,1.5713,49,1.4745,non-habitable
Kepler-897 b,0.9,0.1,2.296,49,0.1,0.9,1.9108,53,2.2921,non-habitable
Kepler-898 b,0.8,0.2,1.3839,51,0.1,0.9,1.2537,51,1.3826,non-habitable
Kepler-900 b,0.9,0.1,1.9905,49,0.1,0.9,1.4772,49,1.9854,non-habitable
Kepler-901 b,0.9,0.1,1.3249,50,0.1,0.9,1.3889,49,1.3255,non-habitable
Kepler-903 b,0.7,0.3,1.7535,50,0.1,0.9,1.6453,52,1.7524,non-habitable
Kepler-904 b,0.9,0.1,1.6968,49,0.1,0.9,2.6849,50,1.7067,non-habitable
Kepler-905 b,0.9,0.1,1.3624,49,0.1,0.9,1.7605,50,1.3664,non-habitable
Kepler-906 b,0.9,0.1,2.0193,50,0.1,0.9,1.1931,49,2.011,non-habitable
Kepler-907 b,0.9,0.1,1.1698,49,0.1,0.9,1.6434,50,1.1745,non-habitable
Kepler-908 b,0.9,0.1,1.1873,49,0.1,0.9,3.021,51,1.2056,non-habitable
Kepler-909 b,0.9,0.1,1.4172,50,0.1,0.9,1.6627,51,1.4197,non-habitable
Kepler-910 b,0.7,0.3,0.82,49,0.1,0.9,2.8186,50,0.84,non-habitable
Kepler-913 b,0.9,0.1,1.9718,53,0.1,0.9,1.2313,49,1.9644,non-habitable
Kepler-914 b,0.9,0.1,1.3349,53,0.2,0.8,1.0966,49,1.3325,non-habitable
Kepler-915 b,0.9,0.1,1.4447,50,0.1,0.9,2.4129,49,1.4544,non-habitable
Kepler-916 b,0.9,0.1,1.6867,50,0.1,0.9,1.0345,50,1.6802,non-habitable
