Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-1324 b,0.8,0.1,1.396,50,0.1,0.7,1.2915,51,1.395,non-habitable
Kepler-1327 b,0.8,0.1,1.6257,49,0.1,0.6,1.1249,50,1.6207,non-habitable
Kepler-1328 b,0.1,0.1,0.982,52,0.1,0.8,1.6748,49,0.9889,non-habitable
Kepler-1329 b,0.7,0.2,1.8423,53,0.1,0.8,1.1792,49,1.8357,non-habitable
Kepler-1330 b,0.8,0.1,1.507,50,0.1,0.8,1.4081,50,1.506,non-habitable
Kepler-1331 b,0.7,0.1,1.0216,49,0.1,0.8,1.9895,49,1.0313,non-habitable
Kepler-1332 b,0.7,0.2,1.2415,52,0.1,0.8,1.2923,49,1.242,non-habitable
Kepler-1334 b,0.8,0.1,2.0135,49,0.1,0.7,1.2065,50,2.0054,non-habitable
Kepler-1335 b,0.7,0.2,1.2934,49,0.1,0.7,1.1961,49,1.2924,non-habitable
Kepler-1336 b,0.8,0.1,1.7703,49,0.1,0.8,1.3186,53,1.7658,non-habitable
Kepler-1336 c,0.8,0.1,1.5549,49,0.1,0.8,1.8338,50,1.5577,non-habitable
Kepler-1337 b,0.8,0.1,2.1211,49,0.1,0.7,0.9032,49,2.1089,non-habitable
Kepler-1338 b,0.2,0.1,0.9676,49,0.1,0.8,2.601,49,0.9839,non-habitable
Kepler-1339 b,0.1,0.1,0.945,52,0.1,0.8,2.1191,49,0.9567,non-habitable
Kepler-1340 b,0.8,0.1,1.4269,49,0.1,0.8,3.5183,49,1.4478,non-habitable
Kepler-1342 b,0.7,0.2,1.4533,50,0.1,0.7,1.7457,49,1.4562,non-habitable
Kepler-1343 b,0.7,0.1,1.6189,49,0.1,0.8,1.9502,49,1.6222,non-habitable
Kepler-1344 b,0.8,0.1,1.6573,49,0.1,0.8,1.9269,49,1.66,non-habitable
Kepler-1345 b,0.8,0.1,2.0806,49,0.1,0.8,1.3322,49,2.0731,non-habitable
Kepler-1346 b,0.7,0.2,1.3962,50,0.1,0.7,1.8245,49,1.4005,non-habitable
Kepler-1347 b,0.8,0.1,1.0109,49,0.1,0.8,1.0935,49,1.0117,non-habitable
