Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-250 b,0.9,0.1,1.1058,49,0.1,0.9,1.7053,49,1.1118,non-habitable
Kepler-250 c,0.9,0.1,2.1764,49,0.2,0.8,0.9196,49,2.1638,non-habitable
Kepler-250 d,0.9,0.1,2.0784,49,0.1,0.9,1.247,50,2.0701,non-habitable
Kepler-251 b,0.9,0.1,1.2887,50,0.2,0.8,0.947,49,1.2853,non-habitable
Kepler-252 b,0.9,0.1,1.1974,51,0.1,0.9,1.1307,50,1.1967,non-habitable
Kepler-252 c,0.8,0.2,1.9704,50,0.1,0.9,1.0847,51,1.9615,non-habitable
Kepler-253 b,0.9,0.1,1.5571,49,0.1,0.9,1.8218,49,1.5597,non-habitable
Kepler-254 c,0.7,0.3,1.8863,51,0.1,0.9,1.5976,50,1.8834,non-habitable
Kepler-254 d,0.9,0.1,2.4082,50,0.1,0.9,1.4627,49,2.3987,non-habitable
Kepler-255 b,0.9,0.1,1.4908,49,0.2,0.8,0.9447,49,1.4853,non-habitable
Kepler-255 d,0.9,0.1,1.28,49,0.1,0.9,2.9025,49,1.2962,non-habitable
Kepler-256 b,0.9,0.1,1.5283,49,0.2,0.8,1.5008,49,1.528,non-habitable
Kepler-256 c,0.9,0.1,2.0582,49,0.1,0.9,2.523,52,2.0628,non-habitable
Kepler-256 d,0.9,0.1,2.3867,49,0.2,0.8,1.2352,50,2.3752,non-habitable
Kepler-256 e,0.9,0.1,2.2571,53,0.1,0.9,1.8501,49,2.253,non-habitable
Kepler-260 b,0.9,0.1,1.9142,49,0.4,0.6,0.2723,49,1.8978,non-habitable
Kepler-260 c,0.9,0.1,1.668,49,0.1,0.9,0.8382,49,1.6597,non-habitable
Kepler-261 b,0.9,0.1,2.0784,49,0.1,0.9,1.4243,49,2.0719,non-habitable
Kepler-261 c,0.9,0.1,1.9041,50,0.1,0.9,1.1039,51,1.8961,non-habitable
Kepler-262 b,0.9,0.1,1.3162,49,0.2,0.8,0.7524,50,1.3106,non-habitable
Kepler-262 c,0.9,0.1,1.5744,49,0.2,0.8,0.6971,51,1.5656,non-habitable
Kepler-263 c,0.9,0.1,2.3679,49,0.2,0.8,0.6011,50,2.3502,non-habitable
Kepler-265 b,0.9,0.1,1.7802,49,0.1,0.9,1.9874,50,1.7823,non-habitable
