Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
K2-15 b,non-habitable,0.289,0.0387,0.2655,0.346,0.0608,0.873,1,2.4894,85
K2-16 b,non-habitable,0.011,0.1079,0.4638,0.3804,0.0369,0.7771,1,2.1396,87
K2-17 b,non-habitable,0.3452,0.2461,0.021,0.3759,0.0119,0.2807,1,2.0705,90
K2-18 b,mesoplanet,0.2581,0.1937,0.1241,0.3107,0.1134,0.8812,1,1.7912,84
K2-19 d,non-habitable,0.0552,0.3152,0.3119,0.2107,0.1069,0.8656,1,1.8172,90
K2-21 b,non-habitable,0.0392,0.2598,0.6069,0.0438,0.0503,0.649,1,1.516,80
K2-21 c,non-habitable,0.5046,0.01,0.133,0.3228,0.0296,0.8213,1,1.8777,82
K2-22 b,non-habitable,0.0606,0.3687,0.4104,0.1589,0.0014,0.6903,1,13.4983,110
K2-28 b,non-habitable,0.0654,0.3747,0.0738,0.4747,0.0115,0.7939,1,2.2087,83
K2-33 b,non-habitable,0.3039,0.5543,0.0295,0.1024,0.01,0.8204,1,8.1499,100
K2-35 b,non-habitable,0.0423,0.1629,0.4149,0.3189,0.061,0.7967,1,2.0439,88
K2-35 c,non-habitable,0.4192,0.1453,0.334,0.0348,0.0667,0.529,1,1.9201,86
K2-36 b,non-habitable,0.1468,0.1936,0.4726,0.0924,0.0947,0.8408,1,2.4625,86
K2-37 b,non-habitable,0.0439,0.0151,0.524,0.21,0.207,0.9637,1,2.2586,88
K2-38 b,non-habitable,0.1685,0.2616,0.2545,0.2307,0.0846,0.5014,1,2.5315,100
K2-38 c,non-habitable,0.0776,0.0456,0.4343,0.4412,0.0013,0.4807,1,2.4111,95
K2-42 b,non-habitable,0.3874,0.3078,0.2213,0.0038,0.0797,0.948,1,1.7991,78
K2-46 b,non-habitable,0.2867,0.3338,0.3428,0.034,0.0028,0.9123,1,2.1543,83
K2-47 b,non-habitable,0.3142,0.4228,0.1839,0.0734,0.0057,0.877,1,1.5796,83
K2-48 b,non-habitable,0.4035,0.0966,0.0277,0.4667,0.0055,0.4501,1,2.3278,107
K2-49 b,non-habitable,0.0222,0.1936,0.3875,0.334,0.0628,0.9179,1,1.9891,84
K2-50 b,non-habitable,0.1501,0.2166,0.3776,0.2296,0.0262,0.409,1,1.5183,84
K2-53 b,non-habitable,0.0294,0.4641,0.1088,0.3696,0.0281,0.3279,1,2.1627,84
K2-54 b,non-habitable,0.2921,0.0373,0.2288,0.3291,0.1127,0.8037,1,1.0431,77
