Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
Kepler-290 b,non-habitable,0.3797,0.6203,2.25,0.0635,0.9365,2.73,2.2548,69,69
Kepler-291 b,non-habitable,0.5714,0.4286,2.16,0.4084,0.5916,2.56,2.164,56,60
Kepler-291 c,non-habitable,0.6264,0.3736,1.88,0.0287,0.9713,2.08,1.882,60,51
Kepler-292 b,non-habitable,0.3918,0.6082,1.32,0.7152,0.2848,1.3,1.3198,57,51
Kepler-292 c,non-habitable,0.8784,0.1216,1.47,0.5289,0.4711,1.48,1.4701,56,53
Kepler-292 d,non-habitable,0.1316,0.8684,2.23,0.5631,0.4369,2.69,2.2346,60,56
Kepler-292 f,non-habitable,0.5019,0.4981,2.35,0.2798,0.7202,2.94,2.3559,62,59
Kepler-294 b,non-habitable,0.6863,0.3137,1.77,0.575,0.425,1.9,1.7713,58,63
Kepler-295 b,non-habitable,0.7716,0.2284,1.22,0.144,0.856,1.18,1.2196,58,52
Kepler-295 c,non-habitable,0.3998,0.6002,1.16,0.4393,0.5607,1.11,1.1595,59,45
Kepler-295 d,non-habitable,0.4992,0.5008,1.36,0.2097,0.7903,1.34,1.3598,49,59
Kepler-296 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,55,71
Kepler-296 c,non-habitable,0.0273,0.9727,2.15,0.3842,0.6158,2.54,2.1539,65,59
Kepler-296 d,non-habitable,0.1068,0.8932,2.27,0.0447,0.9553,2.78,2.2751,57,52
Kepler-296 e,mesoplanet,0.8516,0.1484,1.48,0.2016,0.7984,1.5,1.4802,59,58
Kepler-296 f,psychroplanet,0.4189,0.5811,1.75,0.3197,0.6803,1.87,1.7512,51,51
Kepler-298 b,non-habitable,0.1929,0.8071,1.96,0.4013,0.5987,2.2,1.9624,57,69
Kepler-298 c,non-habitable,0.2837,0.7163,1.93,0.9031,0.0969,2.15,1.9322,63,58
Kepler-298 d,mesoplanet,0.6371,0.3629,2.5,0.8888,0.1112,3.28,2.5078,62,56
Kepler-299 b,non-habitable,0.6381,0.3619,1.32,0.2764,0.7236,1.3,1.3198,41,45
Kepler-299 d,non-habitable,0.0756,0.9244,1.86,0.8524,0.1476,2.04,1.8618,51,50
Kepler-299 e,non-habitable,0.6547,0.3453,1.87,0.4222,0.5778,2.06,1.8719,60,59
Kepler-300 b,non-habitable,0.8479,0.1521,1.67,0.6609,0.3391,1.76,1.6709,62,58
Kepler-300 c,non-habitable,0.5286,0.4714,2.25,0.3179,0.6821,2.73,2.2548,59,58
Kepler-301 b,non-habitable,0.8867,0.1133,1.34,0.1293,0.8707,1.33,1.3399,29,44
Kepler-301 c,non-habitable,0.6689,0.3311,1.34,0.9241,0.0759,1.33,1.3399,44,54
Kepler-301 d,non-habitable,0.4978,0.5022,1.75,0.3076,0.6924,1.87,1.7512,56,58
Kepler-303 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,63,68
Kepler-303 c,non-habitable,0.6618,0.3382,1.14,0.5219,0.4781,1.09,1.1395,41,48
Kepler-304 c,non-habitable,0.4625,0.5375,2.17,0.3886,0.6114,2.58,2.1741,63,68
Kepler-304 e,non-habitable,0.1655,0.8345,1.2,0.801,0.199,1.15,1.1995,53,54
Kepler-306 b,non-habitable,0.0074,0.9926,1.52,0.8605,0.1395,1.56,1.5204,42,53
Kepler-306 c,non-habitable,0.9128,0.0872,2.35,0.0658,0.9342,2.94,2.3559,55,65
Kepler-306 d,non-habitable,0.886,0.114,2.46,0.7035,0.2965,3.2,2.4674,54,54
Kepler-306 e,non-habitable,0.7758,0.2242,2.27,0.9031,0.0969,2.78,2.2751,61,49
Kepler-307 b,non-habitable,0.009,0.991,2.43,0.3492,0.6508,1.75,2.4232,47,64
Kepler-307 c,non-habitable,0.5832,0.4168,2.2,0.385,0.615,1.29,2.1909,61,51
Kepler-308 b,non-habitable,0.9852,0.0148,2.12,0.646,0.354,2.48,2.1236,66,59
Kepler-308 c,non-habitable,0.2792,0.7208,2.16,0.8823,0.1177,2.56,2.164,55,63
Kepler-309 b,non-habitable,0.7295,0.2705,1.56,0.7916,0.2084,1.6,1.5604,50,56
Kepler-310 b,non-habitable,0.7832,0.2168,1.19,0.9048,0.0952,1.14,1.1895,52,49
Kepler-310 d,non-habitable,0.5733,0.4267,2.46,0.819,0.181,3.2,2.4674,57,56
Kepler-311 b,non-habitable,0.9888,0.0112,1.7,0.7093,0.2907,1.8,1.701,35,58
